,ticker,name_en,category,sub_category,name_cn
138,144,CHINA MER PORT,Equity,Equity Securities (Main Board),招商局港口
139,145,HK BLDG & LOAN,Equity,Equity Securities (Main Board),香港建屋貸款
140,146,TAI PING CARPET,Equity,Equity Securities (Main Board),TAI PING CARPET
141,147,IB SETTLEMENT,Equity,Equity Securities (Main Board),國際商業結算
142,148,KINGBOARD CHEM,Equity,Equity Securities (Main Board),建滔化工
143,149,CH AGRI-PROD EX,Equity,Equity Securities (Main Board),中國農產品交易
144,151,WANT WANT CHINA,Equity,Equity Securities (Main Board),中國旺旺
145,152,SHENZHEN INT'L,Equity,Equity Securities (Main Board),深圳國際
146,153,CHINA SAITE,Equity,Equity Securities (Main Board),中國賽特
147,154,BE ENVIRONMENT,Equity,Equity Securities (Main Board),北京控股環境集團
148,155,CHINA SOLAR,Equity,Equity Securities (Main Board),中國源暢
149,156,LIPPO CHINA RES,Equity,Equity Securities (Main Board),力寶華潤
150,157,NATURAL BEAUTY,Equity,Equity Securities (Main Board),自然美
151,158,MELBOURNE ENT,Equity,Equity Securities (Main Board),萬邦投資
152,159,BROCKMAN MINING,Equity,Equity Securities (Main Board),布萊克萬礦業
153,160,HON KWOK LAND,Equity,Equity Securities (Main Board),漢國置業
154,161,AVIC IHL,Equity,Equity Securities (Main Board),中航國際控股
155,162,CENTURY GINWA,Equity,Equity Securities (Main Board),世紀金花
156,163,EMPEROR INT'L,Equity,Equity Securities (Main Board),英皇國際
157,164,CHINA BAOLI TEC,Equity,Equity Securities (Main Board),中國寶力科技
158,165,CHINA EB LTD,Equity,Equity Securities (Main Board),中國光大控股
159,166,NEWTIMES ENERGY,Equity,Equity Securities (Main Board),新時代能源
160,167,IDT INT'L,Equity,Equity Securities (Main Board),IDT INT'L
161,168,TSINGTAO BREW,Equity,Equity Securities (Main Board),青島啤酒股份
162,169,WANDA HOTEL DEV,Equity,Equity Securities (Main Board),萬達酒店發展
163,171,SILVER GRANT,Equity,Equity Securities (Main Board),銀建國際
164,172,GOLDBOND GROUP,Equity,Equity Securities (Main Board),金榜集團
165,173,K. WAH INT'L,Equity,Equity Securities (Main Board),嘉華國際
166,174,GEMINI INV,Equity,Equity Securities (Main Board),盛洋投資
167,175,GEELY AUTO,Equity,Equity Securities (Main Board),吉利汽車
168,176,SUPERACTIVE GP,Equity,Equity Securities (Main Board),先機企業集團
169,177,JIANGSU EXPRESS,Equity,Equity Securities (Main Board),江蘇寧滬高速公路
170,178,SA SA INT'L,Equity,Equity Securities (Main Board),莎莎國際
171,179,JOHNSON ELEC H,Equity,Equity Securities (Main Board),德昌電機控股
172,180,KADER HOLDINGS,Equity,Equity Securities (Main Board),開達集團
173,181,FUJIAN HOLDINGS,Equity,Equity Securities (Main Board),閩港控股
174,182,CONCORD NE,Equity,Equity Securities (Main Board),協合新能源
175,183,WINFULL GP,Equity,Equity Securities (Main Board),宏輝集團
176,184,KECK SENG INV,Equity,Equity Securities (Main Board),激成投資
177,185,ZH INT'L HOLD,Equity,Equity Securities (Main Board),正恒國際控股
178,186,GRANDE HOLDINGS,Equity,Equity Securities (Main Board),GRANDE HOLDINGS
179,187,JINGCHENG MAC,Equity,Equity Securities (Main Board),京城機電股份
180,188,SUNWAH KINGSWAY,Equity,Equity Securities (Main Board),新華匯富金融
181,189,DONGYUE GROUP,Equity,Equity Securities (Main Board),東岳集團
182,190,HKC (HOLDINGS),Equity,Equity Securities (Main Board),香港建設（控股）
183,191,LAI SUN INT'L,Equity,Equity Securities (Main Board),麗新國際
184,193,CAPITAL ESTATE,Equity,Equity Securities (Main Board),冠中地產
185,194,LIU CHONG HING,Equity,Equity Securities (Main Board),廖創興企業
186,195,L'SEA RESOURCES,Equity,Equity Securities (Main Board),利海資源
187,196,HONGHUA GROUP,Equity,Equity Securities (Main Board),宏華集團
188,197,HENG TAI,Equity,Equity Securities (Main Board),亨泰
189,198,SMI HOLDINGS,Equity,Equity Securities (Main Board),星美控股
190,199,ITC PROPERTIES,Equity,Equity Securities (Main Board),德祥地產
191,200,MELCO INT'L DEV,Equity,Equity Securities (Main Board),新濠國際發展
192,201,MAGNIFICENT,Equity,Equity Securities (Main Board),華大酒店
193,202,EVERCHINA INT'L,Equity,Equity Securities (Main Board),潤中國際控股
194,204,CHINA INV DEV,Equity,Investment Companies,中國投資開發
195,205,SEEC MEDIA,Equity,Equity Securities (Main Board),財訊傳媒
